keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,        50 ,        17 ,       74 ,           0 ,        920
F0#F1   ,        29 ,         9 ,       41 ,           0 ,        920
F0#F2   ,        32 ,         9 ,       45 ,           0 ,        920
F0#F3   ,        30 ,         8 ,       41 ,           0 ,        920
F0#F4   ,        29 ,         8 ,       42 ,           0 ,        920
F0#F5   ,        31 ,         8 ,       43 ,           1 ,        928
F0#F6   ,        33 ,         9 ,       45 ,           4 ,        952
F1#F6   ,       213 ,        95 ,      312 ,          52 ,       9591
F2#F6   ,      1576 ,       796 ,     2376 ,         520 ,      95863
F3#F6   ,     16424 ,      7512 ,    23990 ,        4947 ,     956835
F4#F6   ,    158768 ,     72055 ,   231572 ,       49557 ,    9569011
F5#F6   ,   1586688 ,    721408 ,  2315110 ,      500181 ,   95723604
F13#F6  ,  19491865 ,  10488148 , 30107118 ,     4999732 ,  957218663
