keyword ,clientTime ,serverTime ,totalTime ,resultLength ,counter
F0#F7   ,       200 ,    817822 ,   818024 ,           0 ,      10
F0#F1   ,       140 ,    815965 ,   816106 ,           0 ,      10
F0#F2   ,       141 ,    831058 ,   831200 ,           0 ,      10
F0#F3   ,       143 ,    941704 ,   941848 ,           0 ,      10
F0#F4   ,       143 ,   2009451 ,  2009596 ,           0 ,      10
F0#F5   ,       159 ,  16358028 , 16358189 ,           1 ,      10
F0#F6   ,       168 , 146715107 ,146715278 ,           4 ,      10
F1#F6   ,      1447 , 148547557 ,148549006 ,          53 ,     100
F2#F6   ,     14942 , 148638796 ,148653740 ,         522 ,    1000
F3#F6   ,    142988 , 148888375 ,149031365 ,        4976 ,   10000
F4#F6   ,   1478996 , 150435819 ,151914817 ,       49817 ,  100000
F5#F6   ,  14235270 , 176818647 ,191053921 ,      502917 , 1000000
F13#F6  , 149827639 , 448962365 ,598790008 ,     5027823 ,10000000
